1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
1422.0,1177.0,4.0,No,0.0,Unf,1393.0,,779.0,Fin,1999.0,2599.0,Gd,14774.0,108.0,165.0,30.0,5.0,9.0,1393.0,,1999.0,1999.0
912.0,0.0,2.0,No,456.0,Rec,456.0,,275.0,RFn,1958.0,912.0,TA,10150.0,70.0,1.0,0.0,5.0,5.0,912.0,,1958.0,1958.0
882.0,0.0,2.0,None,0.0,None,0.0,,308.0,Unf,1956.0,882.0,TA,12702.0,70.0,0.0,45.0,5.0,5.0,0.0,,1956.0,1956.0
1337.0,0.0,2.0,No,266.0,GLQ,1139.0,,511.0,Fin,1998.0,1337.0,Gd,4060.0,34.0,0.0,68.0,5.0,6.0,1405.0,,1998.0,1999.0
2076.0,0.0,2.0,Gd,1386.0,GLQ,690.0,,850.0,,2006.0,2076.0,Ex,13891.0,107.0,,229.0,5.0,10.0,2076.0,,2006.0,2006.0
1328.0,1203.0,4.0,Av,56.0,LwQ,1198.0,,752.0,RFn,1995.0,2531.0,Gd,12257.0,65.0,513.0,98.0,5.0,8.0,1318.0,,1995.0,1995.0
981.0,787.0,3.0,No,569.0,ALQ,162.0,,240.0,Unf,1939.0,1768.0,Gd,7200.0,60.0,252.0,0.0,7.0,5.0,731.0,,1937.0,1950.0
1625.0,0.0,2.0,Gd,1573.0,,0.0,,538.0,,2006.0,1625.0,Gd,4750.0,44.0,481.0,0.0,5.0,8.0,1573.0,,2006.0,2007.0
1444.0,700.0,4.0,Gd,697.0,Rec,747.0,,389.0,Fin,1958.0,2144.0,Gd,159000.0,,472.0,98.0,7.0,6.0,1444.0,,1958.0,2006.0
1521.0,,,No,0.0,Unf,1237.0,0.0,880.0,Unf,1988.0,2775.0,Gd,13500.0,75.0,0.0,502.0,9.0,10.0,1237.0,,1893.0,2000.0
1140.0,728.0,3.0,No,0.0,Unf,585.0,,477.0,Fin,1984.0,1868.0,TA,12090.0,78.0,74.0,112.0,7.0,6.0,585.0,,1984.0,2003.0
1525.0,0.0,3.0,Av,1400.0,GLQ,125.0,,541.0,RFn,2000.0,1525.0,Gd,9100.0,70.0,244.0,36.0,5.0,7.0,1525.0,,2000.0,2000.0
1571.0,0.0,3.0,Gd,0.0,,1571.0,,722.0,Fin,2007.0,1571.0,Gd,10991.0,89.0,80.0,36.0,5.0,8.0,1571.0,,2007.0,2007.0
796.0,0.0,2.0,No,0.0,Unf,796.0,,0.0,None,,796.0,TA,8777.0,67.0,0.0,0.0,7.0,5.0,796.0,328.0,1910.0,1950.0
1378.0,994.0,4.0,No,0.0,Unf,994.0,,432.0,RFn,1985.0,2372.0,TA,6600.0,60.0,0.0,287.0,4.0,5.0,994.0,,1892.0,1965.0
802.0,670.0,3.0,No,0.0,Unf,384.0,,402.0,RFn,1991.0,1472.0,Gd,10784.0,,76.0,0.0,5.0,7.0,384.0,,1991.0,1992.0
960.0,0.0,0.0,Av,648.0,GLQ,0.0,,364.0,Unf,1965.0,960.0,TA,10246.0,,0.0,0.0,9.0,4.0,648.0,,1965.0,2001.0
734.0,1104.0,4.0,Av,0.0,Unf,732.0,,372.0,Fin,2005.0,1838.0,TA,21930.0,60.0,0.0,40.0,5.0,5.0,732.0,,2005.0,2005.0
1309.0,0.0,3.0,No,663.0,ALQ,0.0,,484.0,RFn,1974.0,1309.0,Gd,10140.0,78.0,99.0,0.0,6.0,6.0,1040.0,,1974.0,1999.0
2069.0,574.0,3.0,Av,0.0,Unf,2153.0,0.0,694.0,Fin,2006.0,2643.0,Ex,13693.0,105.0,772.0,84.0,5.0,9.0,2153.0,,2006.0,2006.0
676.0,455.0,,No,0.0,Unf,676.0,,200.0,Unf,1941.0,1131.0,TA,5720.0,52.0,0.0,0.0,6.0,5.0,676.0,,1941.0,1950.0
960.0,1000.0,4.0,No,0.0,Unf,960.0,,400.0,Unf,1952.0,1960.0,TA,7596.0,60.0,360.0,0.0,5.0,5.0,960.0,,1952.0,1952.0
1144.0,0.0,3.0,No,25.0,BLQ,247.0,,336.0,Unf,1962.0,1144.0,TA,9204.0,71.0,0.0,88.0,5.0,5.0,1144.0,,1963.0,1963.0
1056.0,0.0,0.0,No,1056.0,GLQ,0.0,,576.0,Unf,1980.0,1056.0,TA,6979.0,64.0,0.0,56.0,5.0,6.0,1056.0,,1980.0,1980.0
693.0,0.0,2.0,No,0.0,,693.0,0.0,0.0,None,,693.0,Fa,4118.0,153.0,0.0,20.0,4.0,4.0,693.0,,1941.0,1950.0
1494.0,0.0,3.0,Gd,1200.0,GLQ,279.0,,576.0,RFn,1997.0,1494.0,Gd,9236.0,79.0,0.0,27.0,5.0,6.0,1479.0,,1997.0,1997.0
1646.0,0.0,2.0,Gd,1373.0,GLQ,221.0,0.0,482.0,Fin,2004.0,1646.0,Gd,3842.0,44.0,174.0,53.0,5.0,8.0,1594.0,,2004.0,2005.0
864.0,0.0,3.0,Av,390.0,ALQ,474.0,,352.0,Unf,1989.0,864.0,TA,7180.0,60.0,0.0,0.0,7.0,5.0,864.0,,1972.0,1972.0
1566.0,0.0,3.0,Av,1078.0,GLQ,488.0,0.0,750.0,RFn,2008.0,1566.0,Gd,9000.0,75.0,36.0,168.0,5.0,8.0,1566.0,,2008.0,2008.0
735.0,660.0,3.0,No,593.0,BLQ,130.0,,497.0,Unf,1972.0,1395.0,TA,12936.0,,0.0,116.0,6.0,6.0,723.0,,1972.0,1972.0
848.0,0.0,2.0,No,152.0,BLQ,628.0,,539.0,Unf,1962.0,1208.0,TA,6240.0,52.0,0.0,23.0,5.0,4.0,780.0,,1925.0,1950.0
939.0,574.0,4.0,Mn,0.0,Unf,939.0,,180.0,Unf,1933.0,1513.0,TA,6120.0,51.0,0.0,0.0,8.0,5.0,939.0,24.0,1920.0,2004.0
959.0,408.0,3.0,No,425.0,LwQ,459.0,,560.0,,1978.0,1367.0,TA,6240.0,52.0,0.0,0.0,6.0,6.0,884.0,,1931.0,1950.0
955.0,0.0,3.0,No,763.0,BLQ,192.0,,386.0,Unf,1966.0,955.0,TA,7742.0,66.0,0.0,0.0,7.0,5.0,955.0,,1966.0,1966.0
1077.0,0.0,3.0,No,0.0,Unf,1007.0,,210.0,Unf,1922.0,1077.0,TA,9786.0,60.0,0.0,100.0,4.0,3.0,1007.0,,1922.0,1950.0
1056.0,0.0,3.0,Mn,1056.0,Rec,0.0,,572.0,Fin,1955.0,1056.0,TA,34650.0,100.0,0.0,0.0,5.0,5.0,1056.0,,1955.0,1955.0
756.0,797.0,3.0,No,0.0,Unf,756.0,,615.0,RFn,2005.0,1553.0,Gd,8125.0,65.0,0.0,45.0,5.0,7.0,756.0,,2005.0,2006.0
1614.0,0.0,3.0,Av,20.0,GLQ,1594.0,,865.0,RFn,2005.0,1614.0,Gd,11210.0,86.0,240.0,59.0,5.0,7.0,1614.0,,2005.0,2006.0
2042.0,0.0,3.0,No,0.0,,2042.0,,1390.0,RFn,2009.0,2042.0,Ex,12704.0,98.0,306.0,90.0,5.0,8.0,2042.0,,2008.0,2009.0
1073.0,0.0,2.0,No,0.0,Unf,1073.0,,326.0,,1968.0,1073.0,TA,5400.0,60.0,0.0,0.0,6.0,5.0,1073.0,,1921.0,1968.0
1072.0,213.0,2.0,No,336.0,BLQ,295.0,,240.0,Unf,1948.0,1285.0,TA,8635.0,50.0,0.0,0.0,5.0,5.0,672.0,,1948.0,2001.0
2117.0,0.0,4.0,Mn,865.0,BLQ,340.0,0.0,550.0,Fin,1970.0,2117.0,TA,12925.0,,0.0,42.0,7.0,6.0,1205.0,0.0,1970.0,1970.0
605.0,0.0,2.0,Mn,348.0,,180.0,,0.0,,,605.0,TA,9098.0,58.0,0.0,0.0,7.0,4.0,528.0,,1920.0,2002.0
1150.0,0.0,3.0,No,179.0,ALQ,465.0,,300.0,RFn,1959.0,1150.0,TA,7945.0,70.0,0.0,0.0,6.0,5.0,1150.0,,1959.0,1959.0
728.0,728.0,,No,0.0,Unf,728.0,,400.0,,2005.0,1456.0,Gd,8029.0,51.0,0.0,24.0,5.0,6.0,728.0,100.0,2005.0,2005.0
999.0,0.0,3.0,Av,867.0,ALQ,77.0,,588.0,RFn,1961.0,999.0,Ex,12122.0,,210.0,76.0,9.0,7.0,944.0,,1961.0,2007.0
750.0,750.0,3.0,No,0.0,Unf,750.0,,564.0,RFn,2005.0,1500.0,Gd,8846.0,68.0,0.0,35.0,5.0,6.0,750.0,,2005.0,2006.0
1336.0,0.0,2.0,Mn,841.0,BLQ,324.0,,375.0,Unf,1953.0,1336.0,TA,15750.0,90.0,56.0,0.0,5.0,5.0,1165.0,,1953.0,1953.0
864.0,729.0,3.0,No,759.0,GLQ,80.0,,398.0,,2004.0,1593.0,TA,7415.0,62.0,0.0,75.0,5.0,6.0,839.0,,2004.0,2004.0
1130.0,1054.0,3.0,Av,936.0,GLQ,168.0,0.0,836.0,Fin,2008.0,2184.0,Ex,11308.0,96.0,154.0,102.0,5.0,9.0,1104.0,,2008.0,2008.0
1560.0,0.0,3.0,No,0.0,Unf,1560.0,,573.0,Fin,2003.0,1560.0,Gd,9196.0,129.0,0.0,150.0,5.0,7.0,1560.0,,2003.0,2003.0
888.0,,3.0,No,386.0,LwQ,342.0,,312.0,Unf,1942.0,1644.0,Gd,9480.0,79.0,224.0,0.0,7.0,5.0,728.0,,1942.0,1995.0
630.0,0.0,,Av,515.0,GLQ,115.0,,286.0,Unf,1970.0,630.0,Gd,1526.0,21.0,0.0,0.0,8.0,4.0,630.0,,1970.0,2002.0
1113.0,0.0,3.0,No,751.0,BLQ,392.0,,504.0,RFn,1987.0,1113.0,TA,7917.0,,174.0,30.0,7.0,6.0,1143.0,,1976.0,1976.0
1071.0,1101.0,,No,0.0,Unf,1063.0,,947.0,RFn,2006.0,2172.0,Gd,14154.0,109.0,350.0,62.0,5.0,7.0,1063.0,,2006.0,2006.0
796.0,550.0,2.0,No,0.0,Unf,560.0,,384.0,Unf,1950.0,1346.0,TA,11767.0,70.0,0.0,24.0,7.0,4.0,560.0,,1910.0,2000.0
1184.0,1426.0,4.0,Av,64.0,GLQ,1120.0,,550.0,Fin,2007.0,2610.0,Ex,9000.0,75.0,0.0,364.0,5.0,8.0,1184.0,,2007.0,2007.0
1026.0,932.0,3.0,No,0.0,Unf,1026.0,,936.0,Fin,2005.0,1958.0,Gd,10625.0,85.0,0.0,210.0,5.0,7.0,1026.0,,2005.0,2005.0
1468.0,0.0,3.0,No,0.0,Unf,1468.0,,898.0,Fin,2008.0,1468.0,Gd,9612.0,74.0,72.0,150.0,5.0,8.0,1468.0,,2008.0,2009.0
1302.0,432.0,4.0,None,0.0,None,0.0,0.0,539.0,Unf,1977.0,1734.0,Gd,10125.0,75.0,0.0,0.0,5.0,5.0,0.0,0.0,1977.0,1977.0
768.0,432.0,3.0,No,352.0,BLQ,416.0,,240.0,Unf,1946.0,1200.0,TA,11767.0,70.0,0.0,0.0,6.0,5.0,768.0,0.0,1946.0,1995.0
1112.0,438.0,2.0,No,812.0,GLQ,280.0,,438.0,Fin,2007.0,1550.0,Gd,8125.0,65.0,100.0,168.0,5.0,7.0,1092.0,,2006.0,2007.0
954.0,795.0,5.0,No,0.0,Unf,795.0,,440.0,Unf,1997.0,2230.0,TA,6204.0,60.0,0.0,188.0,5.0,4.0,795.0,,1912.0,1950.0
1166.0,0.0,3.0,No,0.0,Unf,1064.0,,240.0,Unf,1936.0,1639.0,TA,10480.0,51.0,0.0,0.0,5.0,6.0,1064.0,,1936.0,1950.0
864.0,0.0,3.0,No,521.0,BLQ,169.0,,624.0,,1964.0,864.0,TA,9100.0,70.0,0.0,0.0,5.0,5.0,864.0,,1958.0,1958.0
1621.0,0.0,3.0,Mn,213.0,ALQ,995.0,,440.0,,1984.0,1621.0,Gd,14145.0,91.0,0.0,45.0,7.0,7.0,1208.0,,1984.0,1998.0
483.0,504.0,,No,162.0,ALQ,321.0,,264.0,Unf,1972.0,987.0,Gd,1680.0,21.0,510.0,0.0,8.0,6.0,483.0,,1972.0,2007.0
1238.0,1281.0,4.0,Gd,965.0,GLQ,245.0,,628.0,RFn,1989.0,2519.0,Gd,26178.0,42.0,293.0,27.0,5.0,7.0,1210.0,,1989.0,1990.0
765.0,600.0,3.0,No,765.0,LwQ,0.0,,440.0,Unf,1970.0,1365.0,TA,2368.0,24.0,312.0,36.0,6.0,5.0,765.0,,1970.0,1970.0
1149.0,1141.0,4.0,Mn,0.0,Unf,1128.0,,779.0,Unf,2002.0,2290.0,Gd,11250.0,,0.0,0.0,5.0,8.0,1128.0,,2002.0,2002.0
1249.0,1347.0,4.0,Av,0.0,Unf,1249.0,,840.0,RFn,2006.0,2596.0,Gd,16259.0,111.0,370.0,154.0,5.0,9.0,1249.0,,2006.0,2006.0
907.0,0.0,3.0,No,288.0,Rec,619.0,,352.0,Unf,1964.0,907.0,TA,8593.0,77.0,0.0,0.0,6.0,4.0,907.0,,1957.0,1957.0
855.0,,3.0,No,566.0,ALQ,289.0,,440.0,,1976.0,1456.0,TA,2280.0,24.0,0.0,0.0,6.0,6.0,855.0,,1976.0,1976.0
1190.0,0.0,3.0,Av,803.0,ALQ,303.0,,540.0,,1962.0,1190.0,TA,7728.0,70.0,120.0,18.0,6.0,5.0,1106.0,,1962.0,1962.0
858.0,0.0,2.0,No,322.0,ALQ,536.0,,684.0,Unf,1979.0,858.0,TA,7340.0,,0.0,0.0,6.0,4.0,858.0,,1971.0,1971.0
2223.0,0.0,3.0,Gd,1880.0,ALQ,343.0,,516.0,Fin,1973.0,2223.0,TA,13651.0,95.0,1115.0,0.0,6.0,7.0,2223.0,300.0,1973.0,1973.0
1005.0,0.0,2.0,No,0.0,Unf,1005.0,,672.0,Unf,1977.0,1005.0,Fa,10434.0,60.0,0.0,0.0,5.0,4.0,1005.0,,1955.0,1955.0
1086.0,809.0,3.0,No,0.0,Unf,712.0,,409.0,Fin,1994.0,1895.0,Gd,10832.0,,0.0,46.0,5.0,7.0,712.0,,1994.0,1996.0
1040.0,0.0,3.0,No,906.0,Rec,134.0,,384.0,Unf,1965.0,1040.0,TA,11200.0,70.0,0.0,0.0,5.0,5.0,1040.0,,1965.0,1965.0
1264.0,0.0,3.0,No,697.0,Rec,571.0,,461.0,Unf,1960.0,1264.0,TA,9300.0,73.0,324.0,0.0,5.0,5.0,1268.0,,1960.0,1960.0
874.0,887.0,3.0,No,0.0,Unf,874.0,0.0,578.0,Fin,2007.0,1761.0,Gd,10207.0,84.0,0.0,105.0,6.0,7.0,874.0,,2007.0,2007.0
1034.0,0.0,3.0,Av,539.0,GLQ,473.0,,888.0,Unf,1976.0,1034.0,TA,12328.0,,335.0,0.0,5.0,6.0,1012.0,,1976.0,1976.0
1363.0,0.0,2.0,Gd,226.0,LwQ,96.0,0.0,439.0,Unf,1954.0,1363.0,TA,39104.0,73.0,0.0,0.0,7.0,7.0,1385.0,,1954.0,2005.0
1689.0,0.0,3.0,No,0.0,Unf,1436.0,0.0,480.0,Unf,1956.0,1689.0,TA,9855.0,73.0,0.0,0.0,5.0,6.0,1436.0,,1956.0,1956.0
2113.0,0.0,2.0,Gd,1696.0,GLQ,413.0,,839.0,Fin,1995.0,2113.0,Gd,10437.0,91.0,660.0,46.0,6.0,8.0,2109.0,,1995.0,1995.0
1573.0,0.0,3.0,No,788.0,GLQ,785.0,,544.0,RFn,2002.0,1573.0,Gd,9808.0,67.0,110.0,72.0,5.0,7.0,1573.0,0.0,2002.0,2002.0
2364.0,0.0,,Gd,2188.0,GLQ,142.0,,820.0,Fin,2009.0,2364.0,Ex,12919.0,100.0,760.0,67.0,5.0,9.0,2330.0,,2009.0,2010.0
1057.0,977.0,,No,739.0,GLQ,318.0,0.0,645.0,RFn,1998.0,2034.0,Gd,9375.0,,573.0,36.0,5.0,7.0,1057.0,,1997.0,1998.0
1291.0,0.0,2.0,Mn,1003.0,GLQ,288.0,0.0,431.0,Unf,1996.0,1291.0,Gd,2887.0,,0.0,0.0,5.0,6.0,1291.0,307.0,1996.0,1997.0
858.0,0.0,2.0,Gd,696.0,BLQ,162.0,,0.0,None,,858.0,TA,7207.0,50.0,0.0,0.0,7.0,5.0,858.0,117.0,1958.0,2008.0
698.0,560.0,2.0,Mn,204.0,Rec,356.0,,280.0,Unf,1939.0,1258.0,TA,9060.0,60.0,0.0,0.0,5.0,6.0,560.0,,1939.0,1950.0
438.0,0.0,1.0,No,290.0,Rec,0.0,,246.0,Unf,1930.0,438.0,Fa,8400.0,60.0,0.0,0.0,5.0,2.0,290.0,,1920.0,1950.0
